fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
185,2023/10/19 00:00:00,2023/10/19 18:37:04,2023/10/20 00:37:04,2023/10/19 17:37:04,59.7761,-114.1136,28,2
186,2023/10/19 00:00:00,2023/10/19 18:44:14,2023/10/20 00:44:14,2023/10/19 17:44:14,59.8357,-114.0682,-21,4
187,2023/10/19 00:00:00,2023/10/19 18:54:19,2023/10/20 00:54:19,2023/10/19 17:54:19,59.803,-113.8804,108,1
188,2023/10/19 00:00:00,2023/10/19 19:08:20,2023/10/20 01:08:20,2023/10/19 18:08:20,54.0725,-112.6454,114,1
189,2023/10/19 00:00:00,2023/10/19 19:08:20,2023/10/20 01:08:20,2023/10/19 18:08:20,54.054,-112.6246,11,1
190,2023/10/19 00:00:00,2023/10/19 19:12:59,2023/10/20 01:12:59,2023/10/19 18:12:59,54.0349,-112.4927,77,1
191,2023/10/19 00:00:00,2023/10/19 19:25:54,2023/10/20 01:25:54,2023/10/19 18:25:54,54.0578,-112.2618,94,1
192,2023/10/19 00:00:00,2023/10/19 19:28:30,2023/10/20 01:28:30,2023/10/19 18:28:30,54.0322,-112.1796,48,1
193,2023/10/19 00:00:00,2023/10/19 20:36:18,2023/10/20 02:36:18,2023/10/19 19:36:18,53.7954,-111.0508,-15,0
194,2023/10/19 00:00:00,2023/10/19 21:29:08,2023/10/20 03:29:08,2023/10/19 20:29:08,53.4984,-110.1204,-21,1
195,2023/10/19 00:00:00,2023/10/19 21:33:27,2023/10/20 03:33:27,2023/10/19 20:33:27,53.5043,-110.0427,-12,0
196,2023/10/19 00:00:00,2023/10/19 21:34:51,2023/10/20 03:34:51,2023/10/19 20:34:51,53.4873,-110.0111,-16,1
197,2023/10/23 00:00:00,2023/10/23 18:14:40,2023/10/24 00:14:40,2023/10/23 17:14:40,51.6045,-115.7622,9,0
198,2023/10/23 00:00:00,2023/10/23 19:08:11,2023/10/24 01:08:11,2023/10/23 18:08:11,51.5181,-115.7581,38,1
