fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
176,2023/04/24 00:00:00,2023/04/24 18:32:19,2023/04/25 00:32:19,2023/04/24 17:32:19,50.3043,-112.1514,-12,0
177,2023/04/24 00:00:00,2023/04/24 18:33:18,2023/04/25 00:33:18,2023/04/24 17:33:18,50.3186,-112.1793,-9,0
178,2023/04/24 00:00:00,2023/04/24 18:35:53,2023/04/25 00:35:53,2023/04/24 17:35:53,50.33,-112.0784,-14,2
179,2023/04/24 00:00:00,2023/04/24 18:35:53,2023/04/25 00:35:53,2023/04/24 17:35:53,50.312,-112.2391,-5,2
180,2023/04/24 00:00:00,2023/04/24 18:37:03,2023/04/25 00:37:03,2023/04/24 17:37:03,50.3322,-112.0067,-5,1
181,2023/04/24 00:00:00,2023/04/24 18:37:03,2023/04/25 00:37:03,2023/04/24 17:37:03,50.3264,-112.1349,-14,6
182,2023/04/24 00:00:00,2023/04/24 18:37:03,2023/04/25 00:37:03,2023/04/24 17:37:03,50.341,-111.8729,-10,1
183,2023/04/24 00:00:00,2023/04/24 18:38:00,2023/04/25 00:38:00,2023/04/24 17:38:00,50.3119,-112.182,-16,1
184,2023/04/24 00:00:00,2023/04/24 18:38:00,2023/04/25 00:38:00,2023/04/24 17:38:00,50.3327,-111.9745,-5,1
185,2023/04/24 00:00:00,2023/04/24 18:40:32,2023/04/25 00:40:32,2023/04/24 17:40:32,50.3309,-112.0663,-8,1
186,2023/04/24 00:00:00,2023/04/24 18:40:32,2023/04/25 00:40:32,2023/04/24 17:40:32,50.3209,-112.1336,-17,1
187,2023/04/24 00:00:00,2023/04/24 18:41:44,2023/04/25 00:41:44,2023/04/24 17:41:44,50.2218,-111.7184,-19,1
188,2023/04/24 00:00:00,2023/04/24 18:47:17,2023/04/25 00:47:17,2023/04/24 17:47:17,50.3047,-112.167,-9,1
189,2023/04/24 00:00:00,2023/04/24 18:47:17,2023/04/25 00:47:17,2023/04/24 17:47:17,50.2837,-112.2828,4,1
190,2023/04/24 00:00:00,2023/04/24 18:50:36,2023/04/25 00:50:36,2023/04/24 17:50:36,50.309,-112.1276,-12,1
191,2023/04/24 00:00:00,2023/04/24 18:55:45,2023/04/25 00:55:45,2023/04/24 17:55:45,50.3815,-112.0827,-17,0
192,2023/04/24 00:00:00,2023/04/24 19:00:47,2023/04/25 01:00:47,2023/04/24 18:00:47,50.3901,-112.054,-7,0
193,2023/04/24 00:00:00,2023/04/24 19:03:00,2023/04/25 01:03:00,2023/04/24 18:03:00,50.2178,-111.9496,-8,1
